,NectarPesticideInput,NectarSugarConcentrationInput,NectarVolumeInput,StartDay,X_Days,random_seed,paramindex
0,219.7265625,0.193359375,5185.546875,0.0,365.0,996.6998713216213,1.0
1,676.7578125,0.193359375,5185.546875,0.0,365.0,4634.083728547202,2.0
2,219.7265625,0.560546875,5185.546875,0.0,365.0,3326.558944817881,3.0
3,219.7265625,0.193359375,9072.265625,0.0,365.0,6782.926052308997,4.0
4,219.7265625,0.560546875,9072.265625,0.0,365.0,906.1001898652543,5.0
5,676.7578125,0.193359375,9072.265625,0.0,365.0,5528.212873513079,6.0
6,676.7578125,0.560546875,5185.546875,0.0,365.0,173.28297114009183,7.0
7,676.7578125,0.560546875,9072.265625,0.0,365.0,213.84834677698362,8.0
8,719.7265625,1.193359375,185.546875,0.0,365.0,3400.528516423428,9.0
9,176.7578125,1.193359375,185.546875,0.0,365.0,5532.295900135111,10.0
10,719.7265625,1.560546875,185.546875,0.0,365.0,3841.587677980082,11.0
11,719.7265625,1.193359375,4072.265625,0.0,365.0,897.7327860212959,12.0
12,719.7265625,1.560546875,4072.265625,0.0,365.0,8534.350468369068,13.0
13,176.7578125,1.193359375,4072.265625,0.0,365.0,8300.19224636461,14.0
14,176.7578125,1.560546875,185.546875,0.0,365.0,2061.5719301788617,15.0
15,176.7578125,1.560546875,4072.265625,0.0,365.0,5737.425735483993,16.0
16,969.7265625,0.693359375,7685.546875,0.0,365.0,5690.536164942955,17.0
17,926.7578125,0.693359375,7685.546875,0.0,365.0,1805.3513323312409,18.0
18,969.7265625,1.060546875,7685.546875,0.0,365.0,5433.302052200405,19.0
19,969.7265625,0.693359375,1572.265625,0.0,365.0,9824.153475352643,20.0
20,969.7265625,1.060546875,1572.265625,0.0,365.0,2942.8752731242134,21.0
21,926.7578125,0.693359375,1572.265625,0.0,365.0,9643.607239897236,22.0
22,926.7578125,1.060546875,7685.546875,0.0,365.0,9286.63196431785,23.0
23,926.7578125,1.060546875,1572.265625,0.0,365.0,4481.546302610818,24.0
24,469.7265625,1.693359375,2685.546875,0.0,365.0,8953.293503844183,25.0
25,426.7578125,1.693359375,2685.546875,0.0,365.0,9068.822055835053,26.0
26,469.7265625,0.060546875,2685.546875,0.0,365.0,7869.955466157289,27.0
27,469.7265625,1.693359375,6572.265625,0.0,365.0,253.63889320882515,28.0
28,469.7265625,0.060546875,6572.265625,0.0,365.0,8032.511179637065,29.0
29,426.7578125,1.693359375,6572.265625,0.0,365.0,9041.04093110329,30.0
